OBJECTID,zip_1,mid_03,mid_04,mid_05,mid_06,mid_07,mid_08,mid_09,mid_10,mid_11,mid_12,Shape_Length,Shape_Area,SS_SEED,SS_GROUP
21,10302,-0.305570371000000,-0.380109230000000,-0.360392353000000,-0.353808481000000,-0.346805113000000,-0.355510849000000,-0.368022726000000,-0.353611652000000,-0.400271258000000,-0.349042299000000,0.106119050418694,0.000327953887523,0,1
22,10173,-0.551201939000000,-0.526520636000000,-0.504881134000000,-0.510022365000000,-0.513367201000000,-0.516890254000000,-0.527300634000000,-0.458039154000000,-0.444070573000000,-0.434098468000000,0.005034654679595,0.000001311277769,0,1
23,10040,-0.443738128000000,-0.453314933000000,-0.432636743000000,-0.467418579000000,-0.430086157000000,-0.463097119000000,-0.483861205000000,-0.472957369000000,-0.458670345000000,-0.448274496000000,0.058208374315929,0.000104400879913,0,1
24,11229,-0.290218398000000,-0.233697824000000,-0.244801328000000,-0.225997121000000,-0.221883547000000,-0.221028012000000,-0.179785199000000,-0.189511291000000,-0.166674908000000,-0.249810103000000,0.147010670362960,0.000612865764959,0,1
25,11221,-0.489794047000000,-0.467956074000000,-0.475983378000000,-0.467418579000000,-0.485606853000000,-0.476545403000000,-0.483861205000000,-0.458039154000000,-0.487869889000000,-0.462450524000000,0.107030983812650,0.000381674268024,0,1
26,11421,-0.459090101000000,-0.438673793000000,-0.447085621000000,-0.453217316000000,-0.471726679000000,-0.476545403000000,-0.469381395000000,-0.472957369000000,-0.502469661000000,-0.519154637000000,0.079922630743564,0.000355219597452,0,1
27,11416,-0.397682209000000,-0.350826949000000,-0.331494596000000,-0.353808481000000,-0.319044765000000,-0.315165998000000,-0.324583297000000,-0.293938793000000,-0.312672626000000,-0.363218328000000,0.073177138262850,0.000180387815937,1,1
28,10280,-0.474442074000000,-0.482597215000000,-0.490432256000000,-0.495821103000000,-0.457846505000000,-0.476545403000000,-0.483861205000000,-0.487875584000000,-0.502469661000000,-0.490802580000000,0.035385911572541,0.000037311741383,0,1
29,11418,-0.320922344000000,-0.292262386000000,-0.259250206000000,-0.297003432000000,-0.221883547000000,-0.247924580000000,-0.165305389000000,-0.234265935000000,-0.181274679000000,-0.164753934000000,0.115736612959255,0.000454458143925,0,1
30,10017,5.343955689000000,5.051753946000000,5.187976849000000,5.099476219000000,4.983181704000000,4.835526664000000,4.931587669000000,4.837927039000000,4.505252091000000,4.371575056000000,0.069979023761315,0.000086993697235,0,3
31,10119,-0.105994723000000,-0.116568699000000,-0.100312546000000,-0.140789547000000,-0.152482677000000,-0.113441743000000,-0.208744818000000,-0.204429506000000,-0.137475364000000,-0.150577906000000,0.009193613382557,0.000004545252373,0,4
32,11371,-0.198106561000000,-0.306903527000000,-0.244801328000000,-0.297003432000000,-0.263524069000000,-0.301717714000000,-0.179785199000000,-0.293938793000000,-0.341872170000000,-0.278162159000000,0.093058383491031,0.000272841486744,0,1
33,10110,-0.428386155000000,-0.438673793000000,-0.389290109000000,-0.396412267000000,-0.430086157000000,-0.409303984000000,-0.440421775000000,-0.428202725000000,-0.458670345000000,-0.462450524000000,0.008679844885732,0.000002848336939,0,1
34,11209,-0.105994723000000,-0.116568699000000,-0.158108059000000,-0.126588285000000,-0.166362851000000,-0.180683161000000,-0.208744818000000,-0.204429506000000,-0.268873311000000,-0.221458047000000,0.128430147194198,0.000589175455539,0,1
35,10025,0.016821061000000,-0.028721855000000,0.058625113000000,0.100631911000000,0.041839759000000,0.128627364000000,0.167730237000000,0.302789792000000,0.198319389000000,0.132942656000000,0.082322018200435,0.000206298285857,0,4
36,11206,0.016821061000000,-0.058004136000000,-0.056965912000000,-0.027179449000000,-0.083081807000000,-0.099993459000000,-0.049466910000000,-0.100002003000000,-0.108275820000000,-0.136401878000000,0.096335137325588,0.000390469539599,0,4
