zip,sic,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,8700,1,1,0,0,0,0,0,0,0,0
10001,8710,1,1,0,0,0,0,0,0,0,0
10001,8711,54,24,10,6,7,6,1,0,0,0
10001,8712,76,41,24,8,0,3,0,0,0,0
10001,8713,1,0,1,0,0,0,0,0,0,0
10001,8720,100,62,18,15,3,0,1,1,0,0
10001,8731,1,0,1,0,0,0,0,0,0,0
10001,8732,13,6,4,0,2,1,0,0,0,0
10001,8733,6,3,0,2,1,0,0,0,0,0
10001,8734,3,2,0,0,1,0,0,0,0,0
10001,8741,41,20,4,7,7,2,1,0,0,0
10001,8742,40,19,8,6,6,0,1,0,0,0
10001,8743,22,20,2,0,0,0,0,0,0,0
10001,8748,13,7,4,2,0,0,0,0,0,0
10001,8900,23,13,5,2,2,0,1,0,0,0
10001,899\,11,1,3,1,1,4,0,0,1,0
10001,99--,42,40,1,0,1,0,0,0,0,0
10002,----,1919,1385,241,164,89,26,10,2,2,0
10002,07--,5,2,2,1,0,0,0,0,0,0
10002,0720,1,1,0,0,0,0,0,0,0,0
10002,0740,1,0,1,0,0,0,0,0,0,0
10002,0780,3,1,1,1,0,0,0,0,0,0
10002,15--,38,29,0,7,2,0,0,0,0,0
10002,1500,3,3,0,0,0,0,0,0,0,0
10002,1510,10,8,0,1,1,0,0,0,0,0
10002,1530,2,2,0,0,0,0,0,0,0,0
10002,1710,9,4,0,4,1,0,0,0,0,0
10002,1730,3,2,0,1,0,0,0,0,0,0
10002,1751,4,4,0,0,0,0,0,0,0,0
10002,1752,1,1,0,0,0,0,0,0,0,0
10002,1760,1,1,0,0,0,0,0,0,0,0
10002,1791,1,1,0,0,0,0,0,0,0,0
10002,1793,2,1,0,1,0,0,0,0,0,0
10002,1796,1,1,0,0,0,0,0,0,0,0
10002,1799,1,1,0,0,0,0,0,0,0,0
10002,20--,208,98,27,42,27,11,2,0,1,0
10002,2000,1,1,0,0,0,0,0,0,0,0
10002,2013,2,0,0,2,0,0,0,0,0,0
10002,2041,1,1,0,0,0,0,0,0,0,0
10002,2050,1,1,0,0,0,0,0,0,0,0
10002,2051,5,3,0,1,1,0,0,0,0,0
10002,2052,3,1,0,1,0,0,1,0,0,0
10002,2075,1,1,0,0,0,0,0,0,0,0
10002,2092,1,1,0,0,0,0,0,0,0,0
10002,2098,1,1,0,0,0,0,0,0,0,0
10002,2099,4,0,2,1,1,0,0,0,0,0
10002,2253,2,0,1,1,0,0,0,0,0,0
10002,2300,14,13,1,0,0,0,0,0,0,0
10002,2329,3,2,0,0,0,1,0,0,0,0
10002,2330,1,1,0,0,0,0,0,0,0,0
10002,2331,25,5,6,7,6,1,0,0,0,0
10002,2335,45,9,4,15,14,2,1,0,0,0
10002,2337,10,3,0,3,0,4,0,0,0,0
10002,2339,39,20,6,7,4,2,0,0,0,0
10002,2341,1,0,0,1,0,0,0,0,0,0
10002,2342,1,1,0,0,0,0,0,0,0,0
10002,2350,1,1,0,0,0,0,0,0,0,0
10002,2392,2,2,0,0,0,0,0,0,0,0
10002,2395,2,0,1,0,1,0,0,0,0,0
10002,2499,1,0,0,1,0,0,0,0,0,0
10002,2500,1,1,0,0,0,0,0,0,0,0
10002,2541,3,1,1,1,0,0,0,0,0,0
10002,2700,1,1,0,0,0,0,0,0,0,0
10002,2710,2,1,0,0,0,0,0,0,1,0
10002,2720,1,1,0,0,0,0,0,0,0,0
10002,2731,1,1,0,0,0,0,0,0,0,0
10002,2752,9,7,1,1,0,0,0,0,0,0
10002,2759,2,2,0,0,0,0,0,0,0,0
10002,2789,1,1,0,0,0,0,0,0,0,0
10002,2791,1,1,0,0,0,0,0,0,0,0
10002,3479,1,0,1,0,0,0,0,0,0,0
10002,3499,1,1,0,0,0,0,0,0,0,0
10002,3544,1,1,0,0,0,0,0,0,0,0
