OBJECTID,zip_1,large_03,large_04,large_05,large_06,large_07,large_08,large_09,large_10,large_11,large_12,Shape_Length,Shape_Area,SS_SEED,SS_GROUP
41,10069,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.034633017775433,0.000027828137721,0,2
42,10028,-0.282037339000000,-0.219924641000000,-0.090481730000000,-0.161613080000000,-0.164753237000000,-0.362593141000000,-0.290388189000000,-0.297193382000000,-0.102372074000000,-0.106230724000000,0.048394083521493,0.000086916900196,0,1
43,10152,-0.481628097000000,-0.430127004000000,-0.497163054000000,-0.422440368000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.437088465000000,-0.374929570000000,-0.371331875000000,0.005063326839001,0.000001324846370,0,2
44,10018,2.512233275000000,2.302503714000000,3.095188642000000,3.033521195000000,3.609680046000000,3.255138930000000,3.220111076000000,3.619868941000000,3.304596627000000,4.002837116000000,0.076357305840984,0.000090875883605,0,4
45,11412,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.088998716287489,0.000453196177948,0,2
46,11204,-0.415097845000000,-0.360059550000000,-0.226042171000000,-0.292026724000000,-0.297189492000000,-0.172186190000000,-0.290388189000000,-0.087350758000000,-0.170511448000000,-0.238781300000000,0.093735348744780,0.000425377953528,0,2
47,10019,6.038336669000000,6.016078794000000,6.484199677000000,6.619896403000000,6.125968901000000,6.555526082000000,6.798119941000000,6.137980434000000,6.370868459000000,5.593444023000000,0.116312985026718,0.000182508899314,0,4
48,10029,0.117144177000000,0.060345176000000,0.045078711000000,-0.096406258000000,-0.098535109000000,-0.108717207000000,-0.087859385000000,-0.087350758000000,-0.034232700000000,-0.106230724000000,0.065045237616276,0.000225480728330,0,1
49,11429,-0.481628097000000,-0.430127004000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.425407392000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.082295537681634,0.000350282878726,0,2
50,10279,-0.415097845000000,-0.500194459000000,-0.429382833000000,-0.487647190000000,-0.495843875000000,-0.426062125000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.004838994499150,0.000001151478034,0,2
51,10472,-0.481628097000000,-0.500194459000000,-0.429382833000000,-0.422440368000000,-0.495843875000000,-0.426062125000000,-0.425407392000000,-0.437088465000000,-0.443068944000000,-0.503882451000000,0.089071352679001,0.000285681013421,0,2
52,10005,1.447749231000000,1.111356991000000,1.129562242000000,1.338143825000000,1.159609319000000,1.160662467000000,1.059803836000000,1.451495155000000,1.328554781000000,1.219275031000000,0.023524677263298,0.000020047446796,0,3
53,10016,2.445703022000000,2.652840986000000,2.010705111000000,1.729384756000000,1.821790596000000,2.049228239000000,2.207467057000000,1.871180404000000,1.941809147000000,2.213404347000000,0.055223030964436,0.000146777993643,0,3
54,10021,1.913461000000000,2.022233897000000,1.604023787000000,1.338143825000000,1.358263702000000,1.414538402000000,1.599880646000000,1.241652531000000,1.192276033000000,0.954173880000000,0.058882400482603,0.000103931309923,0,3
55,10065,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.049564516274827,0.000101539053436,0,1
56,10111,-0.282037339000000,-0.219924641000000,-0.293822392000000,-0.226819902000000,-0.230971364000000,-0.299124158000000,-0.222878588000000,-0.297193382000000,-0.306790196000000,-0.238781300000000,0.003840429780808,0.000000511980644,1,2
57,10112,-0.282037339000000,-0.289992096000000,-0.293822392000000,-0.292026724000000,-0.297189492000000,-0.235655174000000,-0.357897790000000,-0.367140923000000,-0.374929570000000,-0.371331875000000,0.005847766506377,0.000001626646825,0,2
58,10167,-0.282037339000000,-0.360059550000000,-0.361602613000000,-0.292026724000000,-0.363407620000000,-0.299124158000000,-0.290388189000000,-0.297193382000000,-0.238650822000000,-0.106230724000000,0.004664825600077,0.000000905389634,0,2
59,10308,-0.415097845000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.113732264031471,0.000547150694148,0,2
60,10474,-0.282037339000000,-0.219924641000000,-0.226042171000000,-0.292026724000000,-0.230971364000000,-0.235655174000000,-0.222878588000000,-0.157298299000000,-0.102372074000000,-0.039955437000000,0.093940532701788,0.000425992064376,0,1
61,11104,-0.415097845000000,-0.430127004000000,-0.429382833000000,-0.422440368000000,-0.429625748000000,-0.299124158000000,-0.357897790000000,-0.297193382000000,-0.306790196000000,-0.305056588000000,0.059851944643096,0.000108861827166,0,2
62,11212,-0.282037339000000,-0.219924641000000,-0.293822392000000,-0.292026724000000,-0.230971364000000,-0.235655174000000,-0.290388189000000,-0.297193382000000,-0.306790196000000,-0.305056588000000,0.087055799961569,0.000430041616288,0,2
63,11226,-0.348567592000000,-0.360059550000000,-0.293822392000000,-0.292026724000000,-0.363407620000000,-0.299124158000000,-0.290388189000000,-0.297193382000000,-0.306790196000000,-0.305056588000000,0.078612641579523,0.000352072628600,0,2
64,11236,-0.282037339000000,-0.289992096000000,-0.226042171000000,-0.226819902000000,-0.230971364000000,-0.172186190000000,-0.087859385000000,-0.157298299000000,-0.102372074000000,-0.238781300000000,0.143871965908188,0.001001226175242,0,1
65,11351,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.005105982097963,0.000000805313667,0,2
66,11359,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.036702394092356,0.000072898268705,0,2
67,11378,-0.148976834000000,-0.149857187000000,-0.090481730000000,0.034007386000000,0.033901147000000,0.145158728000000,0.047159817000000,0.192439408000000,0.102046048000000,-0.106230724000000,0.134876728798560,0.000726948049276,0,1
68,11420,-0.348567592000000,-0.360059550000000,-0.429382833000000,-0.422440368000000,-0.429625748000000,-0.426062125000000,-0.425407392000000,-0.437088465000000,-0.511208318000000,-0.371331875000000,0.100993237143728,0.000575454890649,0,2
69,11424,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.014645614583755,0.000009950645675,0,2
70,11425,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.014130310975506,0.000010597534233,0,2
71,11433,-0.348567592000000,-0.360059550000000,-0.361602613000000,-0.357233546000000,-0.363407620000000,-0.299124158000000,-0.290388189000000,-0.297193382000000,-0.306790196000000,-0.437607163000000,0.122634839600809,0.000428492077697,0,2
72,11451,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.013680118536704,0.000009920024049,0,2
73,10311,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.015514550475255,0.000012923108269,0,2
74,10027,-0.082446581000000,-0.149857187000000,-0.022701509000000,0.229627851000000,0.232555530000000,-0.045248223000000,-0.020349784000000,0.122491867000000,0.102046048000000,0.026319851000000,0.100619707773493,0.000242132536220,0,1
75,10199,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.511208318000000,-0.503882451000000,0.016993630222382,0.000007115357816,0,2
76,10002,-0.282037339000000,-0.289992096000000,-0.226042171000000,-0.226819902000000,-0.164753237000000,-0.235655174000000,-0.155368987000000,-0.227245841000000,-0.306790196000000,-0.371331875000000,0.065292237550921,0.000234425988193,0,2
77,10470,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.507036006000000,-0.443068944000000,-0.437607163000000,0.129013305369241,0.000398456683594,0,2
78,11201,1.647339989000000,1.671896626000000,1.671804008000000,1.403350647000000,1.490699957000000,1.478007386000000,1.802409449000000,1.591390238000000,1.669251651000000,1.683202045000000,0.101976447091775,0.000395172267395,0,3
79,10456,-0.215507087000000,-0.289992096000000,-0.158261951000000,-0.161613080000000,-0.164753237000000,-0.172186190000000,-0.155368987000000,-0.157298299000000,-0.170511448000000,-0.172506012000000,0.087503544702312,0.000280891683666,0,1
80,10165,-0.415097845000000,-0.430127004000000,-0.361602613000000,-0.422440368000000,-0.495843875000000,-0.426062125000000,-0.425407392000000,-0.437088465000000,-0.511208318000000,-0.437607163000000,0.005128820373821,0.000001392379433,0,2
81,10012,-0.082446581000000,-0.289992096000000,0.045078711000000,0.099214208000000,-0.032316981000000,0.081689745000000,0.047159817000000,-0.017403216000000,0.102046048000000,0.225145714000000,0.036586531581059,0.000084619079381,1,1
82,10033,-0.415097845000000,-0.360059550000000,-0.429382833000000,-0.422440368000000,-0.429625748000000,-0.362593141000000,-0.425407392000000,-0.437088465000000,-0.443068944000000,-0.437607163000000,0.075620142418009,0.000163557804419,0,2
83,11239,-0.348567592000000,-0.289992096000000,-0.226042171000000,-0.226819902000000,-0.297189492000000,-0.299124158000000,-0.290388189000000,-0.227245841000000,-0.238650822000000,-0.305056588000000,0.071987041945147,0.000163916792371,0,2
84,10282,-0.415097845000000,-0.430127004000000,-0.361602613000000,-0.357233546000000,-0.297189492000000,-0.362593141000000,-0.425407392000000,-0.367140923000000,-0.374929570000000,-0.305056588000000,0.020911816860160,0.000021784175166,0,2
85,10168,-0.415097845000000,-0.430127004000000,-0.361602613000000,-0.357233546000000,-0.363407620000000,-0.362593141000000,-0.357897790000000,-0.367140923000000,-0.443068944000000,-0.371331875000000,0.005168538095442,0.000001408751073,0,2
86,10462,-0.082446581000000,-0.219924641000000,-0.226042171000000,-0.161613080000000,-0.164753237000000,-0.172186190000000,-0.155368987000000,-0.227245841000000,-0.238650822000000,-0.106230724000000,0.122013986567892,0.000415176870628,0,1
87,10278,-0.481628097000000,-0.500194459000000,-0.497163054000000,-0.487647190000000,-0.495843875000000,-0.489531109000000,-0.492916993000000,-0.437088465000000,-0.511208318000000,-0.437607163000000,0.008082553277603,0.000003577603563,0,2
88,10003,1.181628220000000,1.181424445000000,1.468463346000000,1.338143825000000,1.689354341000000,1.858821288000000,1.802409449000000,1.591390238000000,1.737391025000000,1.550651470000000,0.056382851694727,0.000156138522629,0,3
89,11233,-0.282037339000000,-0.360059550000000,-0.429382833000000,-0.357233546000000,-0.363407620000000,-0.235655174000000,-0.357897790000000,-0.367140923000000,-0.374929570000000,-0.371331875000000,0.095408849358231,0.000367465733635,0,2
90,10020,1.514279484000000,1.461694263000000,1.332902904000000,1.664177934000000,1.556918085000000,1.414538402000000,1.329842241000000,1.591390238000000,1.396694155000000,1.550651470000000,0.017834468299182,0.000006015117796,0,3
91,10044,-0.415097845000000,-0.430127004000000,-0.429382833000000,-0.422440368000000,-0.495843875000000,-0.426062125000000,-0.425407392000000,-0.437088465000000,-0.443068944000000,-0.437607163000000,0.064431352677420,0.000061740645162,0,2
